Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_45_042.jpg;0;0;0;0;99.66999;85.58897;0.0002366907;45.25523;-2.578068E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_45_109.jpg;0;0;0;0;99.66999;85.58897;0.0002371001;45.25523;-1.890239E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_45_176.jpg;0;0;0;0;99.66999;85.58897;0.0002374688;45.25523;-1.103727E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_45_248.jpg;0;0;0;0;99.66999;85.58897;0.0002379333;45.25523;1.074773E-08
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_45_318.jpg;0;0;0;0;99.66999;85.58897;0.0002383979;45.25523;1.125222E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_45_387.jpg;0;0;0;0;99.66999;85.58897;0.0002387057;45.25523;2.059786E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_45_458.jpg;0;0;0;0;99.66999;85.58897;0.0002389148;45.25523;2.953704E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_45_545.jpg;0;0;0;0;99.66999;85.58897;0.0002389671;45.25523;3.667705E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_45_596.jpg;0;0;0;0;99.66999;85.58897;0.0002387843;45.25523;4.111801E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_45_669.jpg;0;0;0;0;99.66999;85.58897;0.0002386015;45.25523;4.555905E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_45_740.jpg;0;0;0;0;99.66999;85.58897;0.0002383984;45.25523;5.049342E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_45_808.jpg;0;0;0;0;99.66999;85.58897;0.0002382766;45.25523;5.345413E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_45_879.jpg;0;0;0;0;99.66999;85.58897;0.0002381547;45.25523;5.641477E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_45_945.jpg;0;0;0;0;99.66999;85.58897;0.0002380938;45.25523;5.789509E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_46_015.jpg;0;0;0;0;99.66999;85.58897;0.0002380735;45.25523;5.838858E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_46_086.jpg;0;0;0;0;99.66999;85.58897;0.0002379951;45.25523;5.748889E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_46_154.jpg;0;0;0;0;99.66999;85.58897;0.0002377599;45.25523;5.478991E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_46_226.jpg;0;0;0;0;99.66999;85.58897;0.0002374871;45.25523;5.020447E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_46_296.jpg;0;0;0;0;99.66999;85.58897;0.0002372548;45.25523;4.463207E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_46_365.jpg;0;0;0;0;99.66999;85.58897;0.0002371212;45.25523;3.946593E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_46_435.jpg;0;0;0;0;99.66999;85.58897;0.0002370079;45.25523;3.380624E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_46_504.jpg;0;0;0;0;99.66999;85.58897;0.000237211;45.25523;2.887179E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_46_578.jpg;0;0;0;0;99.66999;85.58897;0.0002377683;45.25523;2.654911E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_46_644.jpg;0;0;0;0;99.66999;85.58897;0.0002381862;45.25523;2.480706E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_46_714.jpg;0;0;0;0;99.66999;85.58897;0.0002386041;45.25523;2.306509E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_46_785.jpg;0;0;0;0;99.66999;85.58897;0.0002390627;45.25523;2.033607E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_46_854.jpg;0;0;0;0;99.66999;85.58897;0.0002393819;45.25523;1.818777E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_46_925.jpg;0;0;0;0;99.66999;85.58897;0.0002397418;45.25523;1.505262E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_46_995.jpg;0;0;0;0;99.66999;85.58897;0.0002399217;45.25523;1.348508E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_47_065.jpg;0;0;0;0;99.66999;85.58897;0.0002400029;45.25523;1.151128E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_47_136.jpg;0;0;0;0;99.66999;85.58897;0.0002400842;45.25523;9.537471E-07
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_47_206.jpg;0;0;0;0;99.66999;85.58897;0.0002401451;45.25523;8.05715E-07
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_47_277.jpg;0;0;0;0;99.66999;85.58897;0.0002401654;45.25523;7.563731E-07
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_47_344.jpg;0;0;0;0;99.66999;85.58897;0.0002401654;45.25523;7.563731E-07
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_47_423.jpg;0;0;0;0;99.66999;85.58897;0.0002401654;45.25523;7.563731E-07
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_47_483.jpg;0;0;0;0;99.66999;85.58897;0.0002401654;45.25523;7.563731E-07
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_47_553.jpg;0;0;0;0;99.66999;85.58897;0.0002399274;45.25523;7.738236E-07
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_47_623.jpg;0;0;0;0;99.66999;85.58897;0.0002396488;45.25523;8.899577E-07
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_47_695.jpg;0;0;0;0;99.66999;85.58897;0.0002394892;45.25523;9.973699E-07
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_47_763.jpg;0;0;0;0;99.66999;85.58897;0.0002390132;45.25523;1.032264E-06
C:\Users\ASUS\Desktop\Robotic_Udacity\My_dataset\IMG\robocam_2018_04_18_23_32_47_832.jpg;0;0;0;0;99.66999;85.58897;0.0002386359;45.25523;1.107778E-06
